address,collateral_usd,supply_usd,borrow_usd
CBUKYTAUPRPWZ76AENDIGCAYF2FUFKV37YZEPYJSYICMBPBPJBPKKZCR,$0.00,"$9,786,140.09",$0.00
GCYVR6JS6DLRAFF2HEC6LN7J6H6JS2VMERCTGV64RESTZAJMOHB5RHU7,"$1,501,827.63",$0.00,$0.00
GDI7HIOBJI7Y5SC6LBBOGEADSXH4MUVYXLUGH4C3FA5OAU3OSTBHEIRP,"$1,215,125.14",$0.00,$0.00
CDB2WMKQQNVZMEBY7Q7GZ5C7E7IAFSNMZ7GGVD6WKTCEWK7XOIAVZSAP,$0.00,"$868,441.78",$0.00
GBBAKIDZUIBB4TJDOA7C5K3J6SEKGIGVZUDJVAKYMVH6LYVXBUA2NNI3,"$650,220.89",$0.00,$0.00
GATVKWD4ZEZFG5JLZQIIZ3GSTZ6DDHGOMVXCIGAHXEFEX76NDDMOVBJJ,"$437,103.91",$0.00,$0.00
GAXI3GY32RUQZFP4G7JEY5BGFIUXUOFUAJDL3UG3U5KPQBH5O32TXXLM,"$371,530.84",$0.00,$0.00
GBACIMIRSSOAI26PKB6E2EK62LAG57I3Q66ATNOFYEPAFQ7INRQY4AHB,"$364,025.75",$0.00,$0.00
GDL75PXBUUMD43KPEMAIVHJVP2KG3EQCPJ3NYKK444M55FXAD6RKOZCJ,"$321,102.34",$0.00,$0.00
GB4J33ZNH63VYRZUOAJCJIEV5LDEFOD2V3ZM62ZKK5IRCA3BBIDEREFH,"$300,014.02",$0.00,$0.00
GDZKTNV2BG7FKN3P3H7MVFT4E4ALG235JRR5CIPFVXFWAPVZSPWN47SH,"$193,117.53",$0.00,$0.00
GAXYAIOJRTDBWAU735CVFFBCPKG6KVLMKJPSGYCIIG6JKBYZCMIQRLSE,"$192,924.03",$0.00,$0.00
GBJC2P6I3N6ZEWKRRWFVR36YAA5BMGJ5CB6NA4JKGO5LL2MGFQHNU5ZI,"$186,429.92",$0.00,$0.00
GDMCUWYGHGOM2AIWVFJVW6PW3Y77CL5BSIF67BKHOMDEZMCXHFQW7VTK,"$157,955.33",$0.00,$0.00
GDGEWZMIJ2K6AEYYV2L4FYN27YJP5OVZSWCJIM662D5OS7EL6T6WBGBP,"$147,709.84",$0.00,$0.00
GBSW5Y4IFOVCDPDPF3NNVNA6OGFRG3NPAVO2SZTFSAQ6FZUYFPAWR5MN,"$146,970.55",$0.00,$0.00
GAFBNJTWT6WX3A65IY62ZOUWPFC5VQAHC5PCB5SV23ZKOMHKEFJFQSGC,"$144,411.00",$0.00,$0.00
GCWREKOJE7TEBTH36J6FAAN7D7UR6JHF7GDEE36UUTWWTNKHQHF5UMK3,"$144,265.18",$0.00,$0.00
